id,title,description,category,address,lat,lng,startDate,midDate,endDate,imageUrls,current location type
2,E. Braun & Co. Berlin.,"Founded by brothers Emanuel and Josef Braun in Vienna, E. Braun & Co. began as a bridal wear and accessories store. The company expanded to become a supplier to the Austrian imperial court, opening branches in Karlovy Vary and Prague. In 1914, they established their Berlin branch on Unter den Linden 75, which grew into a luxurious store offering formal wear, table linen, and home accessories.

Emanuel Braun, considered the inventor of the boutique concept, partnered with Siegfried Franz Oser-Braun to run the Berlin branch. The store flourished, with its premises renovated in 1926-1928 at a cost of 850,000 Reich marks.

However, Austria's annexation in 1938 dramatically changed the company's fortunes. Siegfried Franz Oser-Braun was arrested, and while in detention, was forced to sell the company to Georg Wiedemann. The Oser-Braun family fled, first to London, then Egypt, and finally to the USA in 1941.

After the war, the company was returned to its founders' heirs. Henry Myer (formerly Hans Friedrich Mayer-Braun) became director in 1962. The Berlin branch, destroyed during the war, was not rebuilt. In 1988, Gustavo Oser sold the rights to the company name.",Textiles & clothing,"Unter den Linden 75, Berlin, Germany",52.51772,13.39703,1900,,1940,media/img/ebraun/ebraun1.png,
3,A. Breslaur,"With the help of his many friends in the book trade and at great material cost, the internationally successful antiquarian bookseller Martin Breslauer - heart and soul of the Berlin Bibliophile Society and fervent German patriot - managed to emigrate and make a modest new start in Lon-don. But, in fall 1940, a German aerial bomb literally startled him to death. The heart of Berlin's Bibliophile Society
Martin Breslauer, born on December 16, 1871, studied German and Palaeography at Rostock University before completing
apprenticeships at some of Europe's most renowned bookstores, including Menozzi in Rome, Welter in Paris, Hachette in Lon- don and Joseph Baer in Frankfurt am Main. At the age of 26, he decided to set up his own business. On February 4, 1898, he and his former school friend Edmund Meyer founded the antiquarian and retail bookstore Antiquariats- und Sortiments- buchhandlung Breslauer &Meyer at Potsdamer Strasse 27b.",Bookseller,"Französische Straße 46, Mitte, 10117 Berlin, Germany",52.5149769,13.3905981,1903,,1939,media/img/breslaur/breslaur1.png,
4,The Deutsche Theater: A Cultural Icon Seized,"Founded in 1883, the Deutsche Theater on Schumann Strasse became the epicenter of Berlin's theatrical world under the visionary leadership of Max Reinhardt. From 1906 to 1933, Reinhardt transformed this modest playhouse into a cultural powerhouse, pioneering innovative staging techniques and nurturing new dramatic talent.

At its peak, the DT was the crown jewel of Reinhardt's theatrical empire, which included 12 theaters and over 10,000 seats across Berlin. The theater's success allowed Reinhardt to experiment with grand productions, including the opening of the Grosse Schauspielhaus in 1919, which seated an astounding 3,200 spectators.

However, the Deutsche Theater's golden age came to an abrupt end in 1933 when the Nazis systematically ousted Reinhardt, a Jewish artist, from his position. This seizure represented more than just a business takeover; it was a calculated move by the Nazi regime to appropriate the theater's prestige and cultural significance for their own propaganda purposes.

Reinhardt's forced exile marked a tragic turning point, not only for the Deutsche Theater but for German culture as a whole. The theater, once a beacon of artistic innovation and freedom, became a tool in the hands of a repressive regime, its legacy of creativity and inclusivity temporarily erased from Berlin's cultural landscape.

Today, the Deutsche Theater stands as a poignant reminder of both the heights of artistic achievement and the depths of cultural persecution in 20th century Germany.",Arts & culture,"Schumannstraße 13A, Mitte, 10117 Berlin, Germany",52.5242794,13.3819283,1907,,1934,media/img/dtheater/dtheater.png,
5,Ebro Upholstery: Innovation and Persecution in Berlin's Automotive Industry,"Ebro, an acronym for Erste Berliner Dampf-Rosshaarspinnerei, revolutionized the upholstery industry with its unique horsehair spinning technique. By 1924, it had evolved from a wholesale supplier to a stock corporation, with Richard's brother Ernst joining as a partner. The company's exceptional quality made it a crucial supplier to Germany's booming automobile industry.
Despite its economic significance and ""German interests"" designation, Ebro faced increasing pressure after 1933. Heinrich Hunke, a Nazi Party economic advisor, orchestrated efforts to force the Jewish shareholders to surrender their factory. The company's success paradoxically made it a target for ""Aryanization.""",Industry & manufacturing ,"Pistoriusstraße 96, Weißensee, 13086 Berlin, Germany",52.5558562,13.4374542,1923,,1938,media/img/ebro/erbo.png,
6,Fröhlich & Pelz: A Tale of Resilience and Reinvention,"Moritz Fröhlich's journey from a thriving Berlin-based glass and porcelain business to American exile embodies the tumultuous fate of many Jewish entrepreneurs during the Nazi era. Establishing himself in the 1920s, Fröhlich built a successful enterprise that prospered until 1936, adapting to economic challenges and expanding to serve major department stores. Forced to flee in 1939, the Fröhlichs endured a two-year wait in Cuba before reaching the United States. Despite initial struggles in America, including a brief stint making army hats and unsuccessful attempts at philately, Fröhlich's legacy lived on through his son Peter, who became a renowned historian. Peter Gay's autobiographical work, ""My German Question: Growing Up in Berlin 1933-1939,"" stands as a poignant testament to his father's resilience and the family's enduring impact on cultural and intellectual life, even in exile.",Retail & Commerce,"Konstanzer Str. 1, 10707 Berlin, Germany",52.4988328,13.3120967,,,1938,media/img/pelz/pelz.png,
7,,,,Ritterstraße 86,52.5028885,13.4053578,,,1939,,
8,Alfred Höxter: From Prosperity to Persecution in Berlin's Grain Trade,"Alfred Höxter established his grain wholesale business in 1919, quickly becoming one of the best-known companies in the Berlin commodity market. Through astute trading and partnerships, Höxter built a thriving enterprise that weathered the 1931 banking crisis, allowing him and his family to live comfortably in an eight-room apartment on Pariser Strasse. However, the rise of Nazi power in 1933 brought far-reaching changes, subjecting Jewish businessmen like Höxter to verbal abuse, boycotts, and systematic exclusion from the market. Despite initial resilience, the company's fortunes declined sharply under increasing anti-Semitic pressures and restrictions. By 1936, faced with untenable conditions, the Höxter family made the difficult decision to emigrate, closing a chapter on a once-prosperous business that fell victim to the Nazis' ruthless economic policies targeting Jewish enterprises.",Retail & Commerce,"Wielandstraße 36, Charlottenburg, 10629 Berlin, Germany",52.5036693,13.3156879,1919,,1937,media/img/hoxter/hoxter.png,
9,,,,"Wielandstraße 36, Charlottenburg, 10629 Berlin, Germany",52.5036693,13.3156879,1919,,1937,,
10,Jacobowitz & Co.: A Century-Old Legacy Shattered by Nazi Persecution,"Founded in the 19th century by Josef Jacobowitz, this family-run egg wholesale and retail business thrived for generations in Berlin's Bergmann Strasse. Under Albert Schlesinger's leadership from 1918, the company prospered, expanding its operations and becoming a cornerstone of Berlin's egg trade. However, the rise of Nazi power in 1933 brought devastating changes. Despite its long-standing reputation and economic importance, Jacobowitz & Co. fell victim to the regime's ""blood and soil"" ideology. By 1935, the business faced forced closure amidst a wider campaign to eliminate Jewish traders from the egg market. The family's desperate attempts to emigrate followed, with some members escaping to England and the United States. Tragically, Bertha Schlesinger perished in Theresienstadt in 1942. This once-thriving enterprise, valued at 75,000 Reichsmarks in the 1920s, was obliterated by arbitrary regulations, leaving behind only memories of a bustling family business that had served Berlin for nearly a century.",Retail & Commerce,"Bergmannstraße 16, 10961 Berlin, Germany",52.48916,13.39182,1900,,1937,media/img/eggs/eggs.png,
11,Jonass & Co.: From Retail Giant to Nazi Appropriation,"Jonass & Co., a prominent Berlin department store founded by Hermann Golluber in the early 20th century, exemplified the rise and fall of Jewish-owned businesses under Nazi rule. Located near Alexanderplatz, it offered credit vouchers and catered to budget-conscious shoppers, growing from a mail-order business to a retail empire. The store's innovative design, complete with rooftop restaurant and garden, made it a local landmark. However, its success attracted Nazi attention, leading to its early appropriation even before 1933. By 1930, the store became a focal point for Nazi rallies, with its Jewish heritage erased. The company's 1933 report revealed a façade of normalcy, but behind the scenes, SA intimidation and boycotts devastated profits. In a final blow, Golluber was forced from the board in 1935, and the store was ""Aryanized."" This transformation from a thriving Jewish-owned business to a propaganda hub for the Nazi regime starkly illustrates the systematic economic persecution of Jews in Nazi Germany.",Retail & Commerce,"Lothringer Straße 1, Berlin, Germany",52.4784579,13.5435516,,,1937,media/img/jonassco/jonassco.png,
