Chapter,Latitude,Longitude,Zoom,Marker,Marker Color,Start date,End date,Location,Description,Media Link,Media Credit,Media Credit Link,Overlay,GeoJSON Overlay,GeoJSON Feature Properties
Elias Braun - Tailor Shop,52.5200,13.4050,16,Numbered,blue,1925-01-01,1938-11-09,Rosenthaler Straße 40,A small tailoring business owned by Elias Braun and his family. The shop was known for fine men's clothing and had been operating since 1925. During Kristallnacht in November 1938 the windows were smashed and the business was forced to close.,media/img/ebraun/ebraun1.png,Berlin State Archive,https://example.com,,,
Breslauer Brothers Department Store,52.5170,13.3880,16,Numbered,blue,1920-03-15,1935-04-01,Unter den Linden 15,One of Berlin's prominent Jewish-owned department stores. The Breslauer Brothers had built a successful business over 15 years before being forced to sell under duress in 1935 as part of the systematic economic persecution.,media/img/breslaur/breslaur1.png,Private Collection,https://example.com,,,
Deutsches Theater Café,52.5240,13.3820,16,Numbered,blue,1928-06-01,1933-03-30,Schumannstraße 13a,A popular café frequented by artists and intellectuals near the Deutsches Theater. Owned by the Goldstein family it was boycotted and closed in early 1933 as part of the initial wave of anti-Jewish business actions.,media/img/dtheater/dtheater.png,Theater Archive,https://example.com,,,
Ebro Textiles,52.5080,13.4180,16,Numbered,blue,1922-09-01,1939-01-15,Alexanderstraße 125,A textile import business specializing in fine fabrics from across Europe. The Ebro family business employed twelve people before being forced to liquidate in early 1939.,media/img/ebro/erbo.png,Business Registry,https://example.com,,,
Hoxter & Sons Bookshop,52.5190,13.4000,16,Numbered,blue,1910-01-01,1938-11-10,Oranienburger Straße 28,An established bookshop that had served Berlin's intellectual community for nearly three decades. The shop specialized in literature philosophy and Jewish texts. It was destroyed during Kristallnacht.,media/img/hoxter/hoxter.png,Library Archive,https://example.com,,,
Pelz Furrier,52.5220,13.3900,16,Numbered,blue,1918-11-01,1937-08-15,Friedrichstraße 180,A luxury furrier shop owned by the Pelz family. Known for high-quality fur coats and accessories the business served Berlin's wealthy clientele before being forced to close in 1937.,media/img/pelz/pelz.png,Fashion Archive,https://example.com,,,
Product X Manufacturing,52.4950,13.4250,16,Numbered,blue,1926-04-01,1936-12-01,Warschauer Straße 45,A small manufacturing company producing household goods. The business employed 25 workers before being systematically excluded from supply chains and forced to close.,media/img/productx/productx.png,Industrial Archive,https://example.com,,,
Eggs & Dairy Distributors,52.5050,13.3950,16,Numbered,blue,1923-02-01,1935-06-30,Hackescher Markt 12,A family-run business distributing dairy products and eggs throughout Berlin. The Rosenberg family had built strong relationships with local farmers before being forced out of business.,media/img/eggs/eggs.png,Agricultural Records,https://example.com,,,
Jonas & Co. Law Firm,52.5180,13.4100,16,Numbered,blue,1908-01-01,1933-04-01,Neue Friedrichstraße 60,A respected law firm that had practiced in Berlin for 25 years. Dr. Jonas and his partners were prohibited from practicing law under the new racial laws in April 1933.,media/img/jonassco/jonassco.png,Legal Archive,https://example.com,,,
Kutschera Photography Studio,52.5140,13.3920,16,Numbered,blue,1930-01-01,1938-03-15,Potsdamer Straße 125,A modern photography studio offering portraits and commercial photography. The Kutschera family had invested in the latest equipment before being forced to sell at far below market value.,media/img/kutschera/kutschera.png,Photography Archive,https://example.com,,,
P. Kunst Gallery,52.5160,13.3980,16,Numbered,blue,1924-05-01,1937-11-20,Unter den Linden 35,An art gallery showcasing contemporary and traditional works. Paul Kunst had built relationships with artists across Europe before being forced to sell his collection and close the gallery.,media/img/pkunst/pkunst.png,Art Archive,https://example.com,,,
Ruilos Import Export,52.5100,13.4150,16,Numbered,blue,1921-08-01,1938-06-30,Spandauer Straße 15,An import-export business with connections across Eastern Europe. The Ruilos family business was a vital link in trade networks before being systematically excluded.,media/img/ruilos/ruilos.png,Trade Archive,https://example.com,,,
Wassermann Medical Practice,52.5210,13.4020,16,Numbered,blue,1915-01-01,1938-09-30,Rosenstraße 22,Dr. Wassermann had served the community as a physician for over 20 years. His practice was closed and his medical license revoked under the racial laws in September 1938.,media/img/wassermann/wassermann.png,Medical Archive,https://example.com,,,
Butter & Fine Foods,52.5120,13.3960,16,Numbered,blue,1927-03-01,1936-10-15,Gendarmenmarkt 8,A gourmet food shop specializing in imported delicacies and fine foods. The Stern family business catered to Berlin's upper class before being boycotted and forced to close.,media/img/butter/butter.png,Food Archive,https://example.com,,,
YVA Photography Agency,52.5230,13.4080,16,Numbered,blue,1925-07-01,1938-12-01,Kaiserdamm 118,A pioneering photography agency founded by Else Neuländer-Simon (YVA). The agency was known for innovative fashion and advertising photography before being forced to close during the persecution.,media/img/yva/yva.png,Photography Museum,https://example.com,,,
